variable,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper,significant_at_5_percent
hour,27.87609553735588,0.8285002227823203,33.646455089342844,3.750662029869985e-230,26.25198359388141,29.50020748083035,True
functioning_day_Yes,912.1055300238696,52.74845326647919,17.291607119094397,1.2462997572944306e-65,808.702548836739,1015.5085112110003,True
rainfall,-58.81152257468236,4.650107550049672,-12.647346742346667,2.8834882308217148e-36,-67.92714500036368,-49.69590014900104,True
season_Winter,-400.19312213670764,37.894646541342894,-10.560676999588813,7.09806977741775e-26,-474.47813299023994,-325.90811128317534,True
solar_radiation,-83.5632618255628,8.301667830965988,-10.06584020549029,1.1334749980551589e-23,-99.83705090162458,-67.28947274950103,True
humidity,-9.692536749542052,1.1008696587923659,-8.804436267391173,1.6369630658659162e-18,-11.850575470459944,-7.534498028624159,True
day_of_week_Sunday,-163.73080079303614,19.483777164965378,-8.403442484830281,5.202486612163607e-17,-201.92491870328507,-125.5366828827872,True
season_Summer,-146.20287508877038,23.559399532648758,-6.2057131331450766,5.756200669994756e-10,-192.3864500714834,-100.01930010605736,True
season_Spring,-148.0579750997806,27.20993317458206,-5.441320790823837,5.4681289588892875e-08,-201.3977042088118,-94.71824599074941,True
temperature,19.53441030405539,3.933299232338139,4.966418558611218,6.981903189462682e-07,11.823949781731844,27.244870826378932,True
day_of_week_Saturday,-95.16041300471018,19.48717254754273,-4.883233458961167,1.06679068454376e-06,-133.36118689554294,-56.95963911387741,True
day_of_week_Monday,-94.81467978527651,19.519601356093652,-4.857408614837165,1.215207675427067e-06,-133.07902398524368,-56.550335585309334,True
holiday_No Holiday,114.64452276263934,25.68039750173005,4.464281472080637,8.159967676668509e-06,64.30314789171182,164.98589763356688,True
wind_speed,22.518180176538323,5.660462394456068,3.9781520673280912,7.015486509969855e-05,11.421955543609494,33.61440480946715,True
snowfall,52.44503258224356,13.857799198064894,3.7845138201718926,0.0001552977864373955,25.27953935851811,79.61052580596902,True
day_of_week_Tuesday,-59.953920766659294,19.64876996542281,-3.0512811169434024,0.0022872233943464133,-98.47147465247178,-21.436366880846812,True
day_of_week_Thursday,-46.839382089504234,19.711023157582037,-2.376303945007898,0.017513844831190235,-85.47897113007585,-8.199793048932627,True
day_of_week_Wednesday,-33.95951681156234,19.823312587786717,-1.7131100900101346,0.08673665079726031,-72.81922722290307,4.900193599778383,False
dew_point_temperature,6.295445614126299,4.129368344538945,1.5245541421491189,0.1274156021777648,-1.799369888576571,14.39026111682917,False
const,-62.188688807362155,119.45568756488699,-0.5206004843727676,0.6026616081126903,-296.3580994546563,171.98072183993202,False
visibility,0.0015290312348134605,0.01184900105931797,0.12904304988740306,0.8973272989585509,-0.021698607828521066,0.024756670298147987,False
